Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
MMM,3M Company,Industrials,222.89,24.31,7.92,259.77,175.49
AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.7,68.39,48.925
ABT,Abbott Laboratories,Health Care,56.27,22.51,0.26,64.6,42.28
ABBV,AbbVie Inc.,Health Care,108.48,19.41,3.29,125.86,60.05
ACN,Accenture plc,Information Technology,150.51,25.47,5.44,162.6,114.82
ATVI,Activision Blizzard,Information Technology,65.83,31.8,1.28,74.945,38.93
AYI,Acuity Brands Inc,Industrials,145.41,18.22,7.43,225.36,142
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,3.39,204.45,114.451
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,6.19,169.55,78.81
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,0.03,15.65,9.7
AES,AES Corp,Utilities,10.06,9.96,-1.72,12.05,10
AET,Aetna Inc,Health Care,178,18.11,5.75,194.4,119.51
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,12.07,216.995,148.81
AFL,AFLAC Inc,Financials,83.25,12.24,11.01,91.73,68.8
A,Agilent Technologies Inc,Health Care,65.05,27.45,2.1,75,49.23
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,13.66,175.17,133.6301
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,1.79,69.56,44.65
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,8.28,101.43,59.25
ALB,Albemarle Corp,Materials,105.18,26.03,5.66,144.99,90.35
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,1.57,134.37,106.89
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,1.77,149.34,96.18
ALGN,Align Technology,Health Care,220.71,56.59,2.84,287.32,92.61
ALLE,Allegion,Industrials,77.32,21.07,2.37,89.81,66.72
AGN,"Allergan, Plc",Health Care,164.2,10.65,38.35,256.8,160.07
ADS,Alliance Data Systems,Information Technology,240.6,13.02,14.13,278.33,209
LNT,Alliant Energy Corp,Utilities,37.14,19.86,1.65,45.55,36.84
ALL,Allstate Corp,Financials,90.06,13.26,4.68,105.36,77.73
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,22.27,1198,824.3
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,22.27,1186.89,803.1903
MO,Altria Group Inc,Consumer Staples,64.05,18.89,5.31,77.79,60.01
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,6.16,1498,812.5
AEE,Ameren Corp,Utilities,52.59,20.38,2.68,64.89,51.81
AAL,American Airlines Group,Industrials,48.6,9.92,3.91,59.08,39.21
AEP,American Electric Power,Utilities,63.38,17.32,1.24,78.07,62.69
AXP,American Express Co,Financials,88.34,15,2.9,102.385,75.51
AIG,"American International Group, Inc.",Financials,58.28,23.22,-0.76,67.3,57.85
AMT,American Tower Corp A,Real Estate,133.57,20.68,1.97,155.28,103.36
AWK,American Water Works Company Inc,Utilities,76.06,26.23,2.63,92.37,71.89
AMP,Ameriprise Financial,Financials,152.5,12.41,9.44,183.9,118.84
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,1.64,106.27,71.9
AME,AMETEK Inc,Industrials,72.05,27.61,2.94,78.51,51.31
AMGN,Amgen Inc,Health Care,173.12,13.76,2.57,201.23,152.16
APH,Amphenol Corp,Information Technology,84.44,25.9,2.05,93.62,67.26
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,-5.9,70,39.96
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,2.11,98.38,74.65
ANDV,Andeavor,Energy,96.9,18.78,6.13,121.71,75.11
ANSS,ANSYS,Information Technology,148.84,42.53,2.99,164.9,94.52
ANTM,Anthem Inc.,Health Care,230.57,19.23,14.36,267.95,156.81
AON,Aon plc,Financials,136.05,20.8,4.66,152.78,113.2201
APA,Apache Corporation,Energy,37.73,-251.53,-3.72,57.9,38.14
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,1.95,46.855,38.85
AAPL,Apple Inc.,Information Technology,155.15,16.86,9.2,180.1,131.12
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,3.17,60.89,34.58
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,5.05,96.91,82.97
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,2.17,47.44,38.59
ARNC,Arconic Inc,Industrials,24.45,20.21,-0.21,31.17,21.755
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.54,70.55,53.63
AIZ,Assurant Inc,Financials,85.16,33.27,9.08,106.985,85.91
T,AT&T Inc,Telecommunication Services,35.57,12.14,4.76,42.7,32.55
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,-2.61,131.1,81.75
ADP,Automatic Data Processing,Information Technology,108.25,29.34,3.85,125.24,95.5
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,44.09,797.89,491.13
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,6.36,199.52,156.01
AVY,Avery Dennison Corp,Materials,110.77,22.11,3.11,123.67,78.471
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,-0.31,57.73,28.03
BLL,Ball Corp,Materials,38.44,20.56,0.85,43.24,35.6
BAC,Bank of America Corp,Financials,29.74,16.34,1.55,32.67,22.07
BAX,Baxter International Inc.,Health Care,62.56,25.12,1.29,72.58,48.15
BBT,BB&T Corporation,Financials,51.07,16.26,2.74,55.99,41.17
BDX,Becton Dickinson,Health Care,211.44,22.28,4.65,248.3888,175.66
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,9.76,217.62,160.93
